Date,Open,High,Low,Close,Volume
24-Mar-15,17.00,17.10,16.10,16.50,2356428
23-Mar-15,17.20,17.20,16.50,16.90,1875655
20-Mar-15,17.50,17.60,16.30,17.30,3754896
19-Mar-15,18.80,19.00,17.80,17.90,3100801
18-Mar-15,20.00,20.20,17.90,18.30,3929257
17-Mar-15,20.50,20.70,19.70,19.70,2037644
16-Mar-15,20.30,20.40,19.70,20.10,2901476
13-Mar-15,20.30,21.60,20.10,20.70,2770985
12-Mar-15,21.50,21.60,20.10,20.10,3336954
11-Mar-15,21.40,22.50,21.30,22.20,2548702
10-Mar-15,21.35,21.90,21.00,21.40,3080294
9-Mar-15,20.90,21.00,20.00,20.30,2090628
6-Mar-15,20.30,21.10,19.80,21.00,4015211
5-Mar-15,19.80,20.50,19.70,19.80,2456940
4-Mar-15,20.90,21.50,20.00,20.10,3165411
3-Mar-15,20.30,21.20,19.90,20.30,3351881
2-Mar-15,20.80,20.80,19.80,19.90,3088621
27-Feb-15,20.90,21.30,20.10,20.80,3133408
26-Feb-15,21.60,21.90,20.40,20.80,3773874
25-Feb-15,21.50,22.00,19.90,21.70,4486133
24-Feb-15,22.80,22.81,21.00,21.30,3938476
23-Feb-15,23.20,23.40,22.60,23.00,1861587
20-Feb-15,25.10,25.40,22.40,22.80,3980539
19-Feb-15,25.90,25.90,24.20,24.20,2422440
18-Feb-15,26.50,26.50,25.00,25.30,2385912
17-Feb-15,26.20,26.50,25.30,25.80,2565234
13-Feb-15,26.00,26.90,25.40,25.70,2824571
12-Feb-15,27.90,28.10,26.00,26.20,5187847
11-Feb-15,29.40,30.00,28.90,29.10,2611198
10-Feb-15,29.70,30.80,28.50,28.80,3451434
9-Feb-15,31.85,32.30,30.80,31.00,3554381
6-Feb-15,27.80,31.94,27.50,30.60,4806201
5-Feb-15,29.80,29.90,28.20,28.60,2948758
4-Feb-15,29.90,30.95,28.20,30.50,4218299
3-Feb-15,31.00,31.50,28.90,29.10,3891531
2-Feb-15,33.40,36.50,31.90,31.90,4838623
30-Jan-15,31.70,35.80,30.40,35.40,5945432
29-Jan-15,31.80,34.30,29.30,29.90,5608709
28-Jan-15,26.50,32.70,26.50,32.00,4669704
27-Jan-15,28.20,28.50,26.30,27.70,3238409
26-Jan-15,27.80,28.70,25.80,25.90,2504801
23-Jan-15,27.60,28.40,26.20,28.20,2435330
22-Jan-15,29.00,31.20,26.80,27.00,4156599
21-Jan-15,34.50,35.39,30.60,30.70,3914204
20-Jan-15,32.30,36.00,32.20,33.70,3184223
16-Jan-15,36.00,37.40,33.50,34.30,4123186
15-Jan-15,33.20,35.90,32.20,35.80,4978632
14-Jan-15,35.70,36.30,33.40,33.80,5221506
13-Jan-15,29.50,34.20,28.60,32.60,5031691
12-Jan-15,28.60,32.30,28.40,30.70,4180363
9-Jan-15,26.00,28.60,25.80,28.10,2792218
8-Jan-15,27.90,28.00,26.00,26.40,3261500
7-Jan-15,30.10,31.50,29.10,29.90,3396128
6-Jan-15,30.40,34.40,29.60,32.10,6349538
5-Jan-15,28.30,31.50,28.10,30.50,4393991
2-Jan-15,26.10,29.90,25.20,26.60,4516148
31-Dec-14,24.00,28.50,23.70,27.60,3056539
30-Dec-14,23.80,24.40,23.10,24.10,1355558
29-Dec-14,23.50,23.70,22.80,23.00,1122624
26-Dec-14,22.80,23.50,22.50,23.30,791774
24-Dec-14,22.70,23.20,22.58,22.90,669451
23-Dec-14,22.80,24.10,22.70,23.10,1437444
22-Dec-14,24.20,24.50,23.00,23.10,2327252
19-Dec-14,25.60,26.40,24.80,25.30,2296338
18-Dec-14,25.00,27.30,24.70,25.80,3125406
17-Dec-14,34.90,35.20,27.30,27.60,4546936
16-Dec-14,33.10,34.40,28.00,34.40,5354497
15-Dec-14,30.10,34.10,27.70,31.50,5626098
12-Dec-14,32.60,33.40,29.20,33.20,5874173
11-Dec-14,26.00,30.10,24.10,30.10,5259746
10-Dec-14,23.20,26.90,23.00,26.80,4718556
9-Dec-14,24.20,25.00,22.00,22.40,3459746
8-Dec-14,21.20,22.60,20.40,22.10,2648957
5-Dec-14,21.00,21.30,20.10,20.80,2192285
4-Dec-14,22.20,22.90,21.20,21.50,2502838
3-Dec-14,22.10,22.20,21.50,21.80,1782146
2-Dec-14,24.70,24.70,22.30,22.50,2280855
1-Dec-14,24.00,25.20,23.90,24.80,2985388
28-Nov-14,22.30,23.30,22.10,23.10,1038406
26-Nov-14,23.20,23.30,22.20,22.20,1436584
25-Nov-14,23.10,23.80,23.00,23.00,1773341
24-Nov-14,23.90,24.10,23.30,23.40,1493984
21-Nov-14,23.60,24.60,23.60,24.20,1873562
20-Nov-14,26.10,26.30,24.60,24.90,1507524
19-Nov-14,25.00,25.80,24.60,25.30,1937480
18-Nov-14,24.90,25.05,23.90,24.60,1818831
17-Nov-14,25.80,26.00,24.60,25.20,1965944
14-Nov-14,25.20,26.20,25.00,25.20,1640481
13-Nov-14,24.90,26.40,24.10,25.00,2245775
12-Nov-14,25.30,25.40,24.10,24.60,1697849
11-Nov-14,24.10,25.20,23.60,23.90,1859561
10-Nov-14,25.80,25.80,23.80,24.20,2868373
7-Nov-14,26.40,27.05,25.70,25.90,2301699
6-Nov-14,27.50,28.50,26.20,26.50,2377826
5-Nov-14,27.60,28.80,27.50,27.90,1842734
4-Nov-14,29.30,30.80,28.30,28.50,2760672
3-Nov-14,28.00,29.40,27.60,28.90,2295480
31-Oct-14,27.70,28.90,27.50,28.00,2659582
30-Oct-14,30.10,31.20,28.20,29.40,3138179
29-Oct-14,28.50,30.70,28.00,29.20,3286433
28-Oct-14,31.50,31.60,28.20,28.40,3326070
27-Oct-14,34.30,35.40,32.10,32.40,3126410
24-Oct-14,34.10,37.50,33.00,33.10,2660138
23-Oct-14,33.80,35.10,32.10,33.90,2901298
22-Oct-14,32.60,38.40,31.80,38.10,4219162
21-Oct-14,36.10,36.60,32.80,33.20,3123246
20-Oct-14,46.50,46.90,38.70,39.00,2559603
17-Oct-14,43.30,48.00,41.70,45.80,3800028
16-Oct-14,60.70,61.50,47.80,50.20,8959010
15-Oct-14,53.90,60.10,48.10,48.80,7346065
14-Oct-14,46.70,51.59,41.70,47.70,6392708
13-Oct-14,39.60,49.80,38.23,49.30,6596093
10-Oct-14,34.20,41.20,32.70,41.20,5499911
9-Oct-14,29.60,33.80,29.00,33.50,3976290
8-Oct-14,34.70,35.40,28.60,28.90,3903046
7-Oct-14,31.60,34.40,31.30,34.25,3682018
6-Oct-14,28.10,30.40,27.60,30.10,1989227
3-Oct-14,31.00,31.46,28.70,29.40,2458617
2-Oct-14,34.40,36.25,32.00,33.10,3710524
1-Oct-14,32.50,35.50,32.50,33.90,3435898
30-Sep-14,32.00,33.10,30.80,32.50,2555602
29-Sep-14,32.00,32.70,30.20,31.70,2697499
26-Sep-14,30.30,30.80,28.40,29.20,1702252
25-Sep-14,27.70,31.70,27.60,31.00,3768331
24-Sep-14,28.70,29.20,27.10,27.10,1697068
23-Sep-14,28.50,29.00,27.40,28.90,2385327
22-Sep-14,26.20,27.60,26.10,27.20,1822038
19-Sep-14,25.20,26.30,25.00,25.60,1385968
18-Sep-14,26.00,26.30,25.60,25.70,1135650
17-Sep-14,26.60,27.10,25.60,26.40,2109179
16-Sep-14,30.30,30.50,26.70,26.80,2084010
15-Sep-14,28.50,30.00,28.40,29.70,1450904
12-Sep-14,27.20,29.00,27.10,28.20,1360621
11-Sep-14,28.00,28.30,27.00,27.10,723713
10-Sep-14,27.80,28.60,26.90,27.20,1397017
9-Sep-14,26.40,27.80,26.40,27.40,1474027
8-Sep-14,26.40,26.70,26.10,26.30,797216
5-Sep-14,27.10,27.70,26.20,26.20,1212643
4-Sep-14,26.80,27.70,26.10,27.10,1415841
3-Sep-14,26.80,27.70,26.80,27.00,1057552
2-Sep-14,27.30,28.10,27.20,27.70,928379
29-Aug-14,27.20,28.00,27.00,27.40,1151182
28-Aug-14,28.30,28.40,27.20,27.70,1474670
27-Aug-14,26.60,27.20,26.40,26.80,1052015
26-Aug-14,26.30,26.80,26.00,26.60,829606
25-Aug-14,26.00,26.40,25.80,26.10,1180454
22-Aug-14,26.70,27.70,26.30,26.60,1782388
21-Aug-14,26.80,27.30,26.60,26.90,1001715
20-Aug-14,27.00,27.50,26.30,26.50,1789772
19-Aug-14,26.20,26.70,26.00,26.20,1021625
18-Aug-14,27.10,27.50,26.80,26.90,1621150
15-Aug-14,27.50,31.80,27.20,28.70,3427315
14-Aug-14,30.00,30.10,28.50,28.60,1110986
13-Aug-14,32.60,33.20,30.10,30.50,1603778
12-Aug-14,34.70,35.10,33.30,34.20,1152655
11-Aug-14,36.30,36.70,32.90,34.50,1861986
8-Aug-14,41.30,42.50,37.90,38.20,2448376
7-Aug-14,37.50,42.70,37.20,41.30,2787901
6-Aug-14,40.90,41.10,36.50,39.60,2123759
5-Aug-14,36.00,40.40,35.20,39.10,2178885
4-Aug-14,37.40,38.10,33.10,34.30,1895299
1-Aug-14,35.30,39.50,32.80,38.00,3446274
31-Jul-14,31.75,35.50,31.30,34.70,2953286
30-Jul-14,28.70,30.20,28.50,29.90,1333330
29-Jul-14,29.00,29.80,28.30,29.20,1038096
28-Jul-14,29.30,30.80,28.90,29.30,884539
25-Jul-14,28.90,29.70,28.80,29.40,918776
24-Jul-14,28.00,28.90,27.90,28.00,670850
23-Jul-14,27.70,28.80,27.60,28.50,685123
22-Jul-14,27.70,28.30,27.20,28.10,810316
21-Jul-14,28.30,30.30,28.10,29.10,1057326
18-Jul-14,29.50,29.80,27.50,27.80,1272772
17-Jul-14,27.60,32.80,26.90,31.60,2405980
16-Jul-14,26.90,27.80,26.50,27.00,870954
15-Jul-14,26.80,29.12,26.70,28.40,966827
14-Jul-14,27.50,27.60,26.80,27.20,583499
11-Jul-14,29.40,29.90,28.50,28.70,652520
10-Jul-14,30.80,31.00,28.80,29.70,1436109
9-Jul-14,28.20,28.50,27.50,27.80,810126
8-Jul-14,28.50,30.00,28.30,28.80,1286815
7-Jul-14,27.30,28.10,27.20,27.90,851700
3-Jul-14,26.80,27.00,26.50,26.90,399481
2-Jul-14,28.20,28.20,27.10,27.70,757336
1-Jul-14,29.00,29.50,27.80,28.30,918797
30-Jun-14,30.40,30.70,29.20,29.80,1082545
27-Jun-14,31.60,31.90,30.40,30.60,727350
26-Jun-14,30.10,32.30,30.00,31.00,1138923
25-Jun-14,33.50,33.60,30.30,30.30,1551608
24-Jun-14,30.90,33.00,30.00,32.80,1267992
23-Jun-14,31.70,32.30,30.00,30.10,857463
20-Jun-14,30.90,32.00,30.60,31.80,660128
19-Jun-14,30.50,31.60,30.00,31.10,900189
18-Jun-14,34.20,34.60,30.90,30.90,1204709
17-Jun-14,36.90,37.10,34.30,34.40,794488
16-Jun-14,37.30,38.10,36.10,36.90,786173
13-Jun-14,38.40,39.60,36.60,37.00,1114151
12-Jun-14,35.90,39.60,35.50,38.80,1403411
11-Jun-14,35.00,36.30,34.30,35.10,1195995
10-Jun-14,35.30,35.70,33.50,33.50,678001
9-Jun-14,33.60,34.80,33.00,34.80,551487
6-Jun-14,36.40,36.40,33.80,34.10,1114087
5-Jun-14,40.00,40.30,37.70,37.90,903604
4-Jun-14,42.20,42.40,40.30,40.50,498120
3-Jun-14,42.20,42.30,41.50,41.70,339971
2-Jun-14,41.90,43.00,41.40,41.50,379370
30-May-14,42.30,42.60,41.90,42.10,262809
29-May-14,42.20,42.40,41.70,42.00,389926
28-May-14,43.10,43.80,42.00,42.70,484555
