Date,Open,High,Low,Close,Volume
11-May-15,65.49,66.18,64.83,65.67,1161027
8-May-15,65.57,66.28,65.32,65.49,837441
7-May-15,64.87,66.00,64.57,65.31,1089811
6-May-15,64.72,65.14,64.05,65.04,1356580
5-May-15,64.57,65.10,64.03,64.31,1237590
4-May-15,64.10,64.91,63.42,64.76,2053807
1-May-15,63.90,64.73,63.41,63.57,2271301
30-Apr-15,64.48,65.09,63.55,63.64,1807723
29-Apr-15,64.58,65.06,63.72,64.70,1363921
28-Apr-15,65.36,65.57,63.96,64.66,1220189
27-Apr-15,67.50,67.66,65.52,65.57,1124865
24-Apr-15,66.43,67.39,66.16,66.94,844808
23-Apr-15,65.50,66.82,65.35,66.48,855725
22-Apr-15,66.36,66.50,65.63,65.67,685977
21-Apr-15,65.99,66.68,65.73,66.35,779948
20-Apr-15,65.97,66.41,65.52,66.19,1506119
17-Apr-15,66.91,67.18,66.42,66.70,1240741
16-Apr-15,67.36,68.08,67.10,67.50,870595
15-Apr-15,67.58,68.22,67.26,67.39,1004863
14-Apr-15,68.00,68.14,66.93,67.65,1987612
13-Apr-15,68.87,69.12,68.01,68.20,1160661
10-Apr-15,69.71,70.00,68.84,68.86,2025148
9-Apr-15,68.25,69.90,68.08,69.77,2672303
8-Apr-15,68.00,69.94,67.90,68.70,4911540
7-Apr-15,64.46,67.33,64.10,66.41,3183896
6-Apr-15,63.59,65.16,63.40,64.40,1703676
2-Apr-15,62.84,64.06,62.76,63.34,1168717
1-Apr-15,64.30,64.30,62.62,63.10,1608744
31-Mar-15,65.50,65.55,64.01,64.02,1816366
30-Mar-15,64.43,65.85,64.43,64.83,1835174
27-Mar-15,63.74,64.50,62.63,64.32,2901647
26-Mar-15,62.54,66.89,61.80,63.96,8888973
25-Mar-15,63.30,63.40,60.69,60.96,4822044
24-Mar-15,63.31,64.36,63.17,63.30,2279274
23-Mar-15,64.53,64.55,62.59,63.71,3780070
20-Mar-15,64.47,66.18,64.31,65.74,3122769
19-Mar-15,63.75,64.54,63.67,64.40,1235611
18-Mar-15,64.40,64.64,63.43,64.40,1280268
17-Mar-15,63.50,64.50,63.37,64.42,1093484
16-Mar-15,63.23,64.00,63.21,63.61,824211
13-Mar-15,63.13,64.10,62.71,63.12,1746920
12-Mar-15,62.39,63.22,61.66,62.82,1389088
11-Mar-15,61.93,62.68,61.75,62.27,891874
10-Mar-15,62.16,62.59,61.60,62.08,1482619
9-Mar-15,62.30,62.49,61.38,62.24,2136819
6-Mar-15,62.16,62.59,60.55,62.30,5404131
5-Mar-15,65.64,68.00,64.73,64.84,2183278
4-Mar-15,65.70,66.33,64.86,65.52,1459779
3-Mar-15,67.17,67.47,65.47,65.87,1664178
2-Mar-15,68.59,68.99,66.54,67.49,1733561
27-Feb-15,66.65,68.69,66.42,68.44,2116616
26-Feb-15,67.20,67.47,66.30,66.48,1123522
25-Feb-15,66.16,67.69,65.83,67.09,1334658
24-Feb-15,66.10,66.69,65.77,66.10,808146
23-Feb-15,67.00,67.25,65.97,66.08,1215765
