Date,Open,High,Low,Close,Volume
31-Jul-14,96.20,96.34,94.88,95.02,50047926
30-Jul-14,97.13,97.32,96.60,96.98,35348519
29-Jul-14,96.97,97.20,96.52,96.60,27022232
28-Jul-14,96.80,97.02,96.02,96.77,25603360
25-Jul-14,96.65,96.87,96.23,96.74,29903633
24-Jul-14,97.40,97.51,96.98,97.12,24707180
23-Jul-14,96.94,97.34,96.77,97.23,28947464
22-Jul-14,96.44,96.76,96.34,96.61,25770404
21-Jul-14,95.92,96.16,95.55,96.00,29754810
18-Jul-14,95.14,96.17,95.00,96.12,36690832
17-Jul-14,95.63,95.97,94.32,94.62,43111514
16-Jul-14,96.19,96.30,95.78,95.89,22061998
15-Jul-14,95.98,96.13,94.83,95.51,39480119
14-Jul-14,95.70,96.06,95.54,95.84,19579041
11-Jul-14,94.87,95.27,94.61,95.27,19570393
10-Jul-14,93.78,95.05,93.63,94.66,44250020
9-Jul-14,94.51,95.06,94.24,94.96,29928322
8-Jul-14,95.24,95.30,93.87,94.26,40612448
7-Jul-14,95.59,95.71,95.23,95.41,23266428
3-Jul-14,95.41,95.70,95.15,95.70,15291700
2-Jul-14,94.98,95.24,94.91,95.10,18784391
1-Jul-14,94.21,95.19,94.20,94.94,31862487
30-Jun-14,93.71,94.14,93.67,93.91,19764915
27-Jun-14,93.21,93.76,93.19,93.75,22881506
26-Jun-14,93.35,93.36,92.62,93.34,22572172
25-Jun-14,92.49,93.45,92.48,93.29,32818591
24-Jun-14,92.79,93.57,92.43,92.70,31945762
23-Jun-14,92.74,92.82,92.51,92.79,20837926
20-Jun-14,92.70,92.87,92.53,92.77,25897494
19-Jun-14,93.10,93.17,92.49,92.91,38427402
18-Jun-14,92.55,93.10,91.98,92.97,34514013
17-Jun-14,92.34,92.70,92.18,92.45,19984787
16-Jun-14,92.16,92.67,91.96,92.40,25218557
13-Jun-14,92.47,92.55,91.92,92.32,39449997
12-Jun-14,92.69,92.79,91.73,92.05,35275853
11-Jun-14,92.59,93.02,92.50,92.89,22884331
10-Jun-14,92.67,92.96,92.56,92.91,20635286
9-Jun-14,92.85,92.98,92.50,92.75,23402469
