Date,Open,High,Low,Close,Volume
11-Nov-14,1.68,1.68,1.65,1.65,31290
10-Nov-14,1.71,1.72,1.65,1.67,25065
7-Nov-14,1.68,1.72,1.62,1.72,37926
6-Nov-14,1.79,1.79,1.63,1.70,71545
5-Nov-14,1.72,1.85,1.72,1.77,187740
4-Nov-14,1.59,1.85,1.57,1.70,375198
3-Nov-14,1.55,1.61,1.55,1.59,28005
31-Oct-14,1.62,1.62,1.57,1.57,44651
30-Oct-14,1.65,1.65,1.59,1.59,34474
29-Oct-14,1.58,1.70,1.58,1.61,26648
28-Oct-14,1.60,1.61,1.58,1.60,60264
27-Oct-14,1.61,1.63,1.59,1.62,20265
24-Oct-14,1.66,1.67,1.61,1.62,11849
23-Oct-14,1.62,1.70,1.60,1.63,15532
22-Oct-14,1.60,1.64,1.58,1.62,33655
21-Oct-14,1.58,1.70,1.58,1.62,65832
20-Oct-14,1.59,1.64,1.58,1.62,51495
17-Oct-14,1.58,1.65,1.58,1.58,50331
16-Oct-14,1.65,1.70,1.59,1.62,34749
15-Oct-14,1.59,1.71,1.59,1.65,12132
14-Oct-14,1.59,1.67,1.58,1.61,28756
13-Oct-14,1.59,1.65,1.58,1.60,22194
10-Oct-14,1.64,1.64,1.58,1.59,128137
9-Oct-14,1.64,1.71,1.60,1.62,98352
8-Oct-14,1.72,1.75,1.61,1.65,74076
7-Oct-14,1.68,1.72,1.62,1.70,71254
6-Oct-14,1.66,1.78,1.62,1.64,54884
3-Oct-14,1.70,1.70,1.60,1.67,73623
2-Oct-14,1.66,1.85,1.61,1.68,92110
1-Oct-14,1.84,1.84,1.64,1.68,245842
30-Sep-14,1.84,1.84,1.79,1.84,43792
29-Sep-14,1.82,1.85,1.76,1.84,79634
26-Sep-14,1.79,1.85,1.79,1.80,40824
25-Sep-14,1.82,1.83,1.76,1.78,693121
24-Sep-14,1.95,1.96,1.75,1.84,221984
23-Sep-14,1.98,2.00,1.95,1.95,54007
22-Sep-14,1.98,2.01,1.95,1.99,54388
19-Sep-14,2.01,2.01,1.95,2.00,35132
18-Sep-14,1.95,2.04,1.95,1.99,48843
17-Sep-14,1.95,2.00,1.95,1.97,23867
16-Sep-14,2.00,2.03,1.91,1.96,50004
15-Sep-14,1.99,2.11,1.96,1.99,35478
12-Sep-14,2.05,2.05,1.97,2.01,32582
11-Sep-14,2.00,2.12,2.00,2.06,77672
10-Sep-14,2.03,2.05,1.97,2.00,65847
9-Sep-14,2.08,2.16,2.00,2.02,99599
8-Sep-14,1.95,2.15,1.94,2.09,109581
5-Sep-14,1.89,1.99,1.89,1.93,24506
